ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,BA,2919959,MAETINGA,28,20/03/09,ESTIAGEM,SE,1123,23/12/09
2009,BA,2919959,MAETINGA,52,31/07/09,ESTIAGEM,SE,1124,23/12/09
2009,BA,2920106,MAIRI,-,-,ESTIAGEM,SE,022,-
2009,BA,2920106,MAIRI,126,22/07/09,ESTIAGEM,SE,1124,23/12/09
2009,BA,2920809,MARCIONÍLIO SOUZA,-,-,ESTIAGEM,SE,023,-
2009,BA,2920908,MASCOTE,-,-,ALAGAMENTOS,SE,729,-
2009,BA,2921054,MATINA,59,19/03/09,ESTIAGEM,SE,1123,23/12/09
2009,BA,2921104,MEDEIROS NETO,67,28/09/09,ENXURRADAS,SE,1140,29/12/09
2009,BA,2922201,MUNIZ FERREIRA,152,18/05/09,ENXURRADAS,SE,1122,23/12/09
2009,BA,2922508,NAZARÉ,108,18/05/09,ENXURRADAS,SE,1122,23/12/09
2009,BA,2922656,NORDESTINA,-,-,ESTIAGEM,SE,121,-
2009,BA,2922805,NOVA ITARANA,-,-,ESTIAGEM,SE,024,-
2009,BA,2923001,NOVA VIÇOSA,1958,04/06/09,ENXURRADAS,SE,891,25/09/09
2009,BA,2923357,OUROLÂNDIA,-,-,ESTIAGEM,SE,122,-
2009,BA,2925402,POTIRAGUÁ,56,04/06/09,ENXURRADAS,SE,1001,10/11/09
2009,BA,2925709,PRESIDENTE JÂNIO QUADROS,51,05/03/09,ESTIAGEM,SE,1123,23/12/09
2009,BA,2926301,RIACHÃO DO JACUÍPE,-,-,ESTIAGEM,SE,123,-
2009,BA,2927408,SALVADOR,-,-,ALAGAMENTOS,SE,528,-
2009,BA,2927507,SANTA BÁRBARA,-,-,ESTIAGEM,SE,256,-
2009,BA,2927606,SANTA BRÍGIDA,-,-,SECA,SE,124,-
2009,BA,2928802,SANTO ESTÊVÃO,-,-,ESTIAGEM,SE,025,-
2009,BA,2929206,SÃO FRANCISCO DO CONDE,273,11/05/09,INUNDAÇÕES,SE,1053,04/12/09
2009,BA,2929750,SAUBARA,5,19/05/09,ENXURRADAS,SE,932,16/10/09
2009,BA,2930709,SIMÕES FILHO,293,23/04/09,ALAGAMENTOS,SE,1002,10/11/09
2009,BA,2931608,TEOLÂNDIA,-,-,ENXURRADAS,SE,770,-
2009,BA,2932002,UAUÁ,2071,03/08/09,ESTIAGEM,SE,1123,23/12/09
2009,BA,2932606,URANDI,55,06/03/09,ESTIAGEM,SE,1123,23/12/09
2009,BA,2932903,VALENÇA,273,29/05/09,ENXURRADAS,SE,1142,23/12/09
2009,BA,2933000,VALENTE,-,-,ESTIAGEM,SE,125,-
2009,BA,2933208,VERA CRUZ,-,-,ALAGAMENTOS,SE,595,-
2009,BA,2933505,WENCESLAU GUIMARÃES,54,05/10/09,ENXURRADAS,SE,1071,10/12/09
2009,CE,2300200,ACARAÚ,29731,11/05/09,INUNDAÇÕES,SE,1094,16/12/09
2009,CE,2300309,ACOPIARA,-,-,ESTIAGEM,SE,026,-
2009,CE,2300309,ACOPIARA,29771,01/06/09,INUNDAÇÕES,SE,892,25/09/09
2009,CE,2300408,AIUABA,-,-,ESTIAGEM,SE,257,-
2009,CE,2300705,ALTO SANTO,-,-,ESTIAGEM,SE,476,-
